instance,rohanrajpal/bert-base-codemixed-uncased-sentiment,Sangramsing/whisper-large,michaellee8/wisper-base-jwt,Geotrend/bert-base-15lang-cased,lesliejd/jt-whisper,racheltong/whisper-tiny,nbroad/mt5-base-qgen,AbhirupGhosh/opus-mt-finetuned-en-hi,S-Fry/large,Helsinki-NLP/opus-mt-iir-en,damerajee/hindi-english,nbroad/mt5-small-qgen,Varosa/mbart-many-to-many,aditii09/whisper_eng_asr,bitextor/bicleaner-ai-full-en-hi,patrol90/whisper-large,Helsinki-NLP/opus-mt-en-inc,setu4993/LEALLA-base,Areeb123/En-Hi_Translation_Model,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,monsoon-nlp/muril-adapted-local,Evan-Lin/whisper-large-v1-tw,defining/maggle,rohanrajpal/bert-base-en-hi-codemix-cased
Gazab...Aaj Sardesai Triple Talaq ke against bhi bolega fir shayad? pic.twitter.com/LXyq2QIWKD,41,44,44,43,44,44,33,45,44,57,45,33,35,44,35,44,41,35,45,41,37,44,44,41
Real #life: jo dikhta hai woh hota nahi! #advertising #world: jo dikhta hai wahi bikta hai! #irony bt #fact,38,41,41,38,41,41,33,48,41,59,48,33,36,41,36,41,47,32,48,38,35,41,41,38
Jo bacha politics main janay ki koshish karta usko maa baap ye keh ky rok dety ye bht ghatiya kaam hy politics wala koi izzat ni,40,44,44,40,44,44,35,53,44,71,53,35,36,44,36,44,52,34,53,40,35,44,44,40
Is social network ki bhaaree bheed mein hone ke baad bhee hum sab akele hain!!!! #Irony,32,31,31,32,31,31,24,39,31,50,39,24,26,31,26,31,38,27,39,32,24,31,31,32
Bas gaand tumhari kapil mishra ke samne hi fat ti hai....baaki gandi politics thik kar lete ho,32,36,36,32,36,36,25,35,36,48,35,25,29,36,29,36,37,30,35,32,27,36,36,32
@narendramodi respected sir aapne kuch bola nai gorkhapur incident k baare me. Ye kaise politics hai sir.Janta he hamesa kyon Marti hai,40,46,46,40,46,46,38,48,46,70,48,38,38,46,38,46,46,36,48,40,34,46,46,40
Main bhi Lahore ja raha hun aur cricket bhi Lahore aarahi hai,19,21,21,17,21,21,16,24,21,29,24,16,15,21,15,21,20,13,24,19,13,21,21,19
Ishq shava - jab tak hai jaan  Katrina kaif did that #Katrinakaif #shahrukhkhan #srk #bollywood #indiapic.twitter.com/hY6BOExRMn,52,59,59,55,59,59,46,57,59,74,57,46,46,59,46,59,57,43,57,52,45,59,59,52
Yes sir .... aur kuch gyaan dena chahenge humare politics pe aap mujhe !!,28,24,24,27,24,24,20,27,24,36,27,20,21,24,21,24,27,24,27,28,20,24,24,28
aise beokoof bhi apne aap Ko Bollywood ka hero samjhte hai.....sari Hui machli ke aalawa kuch nahi hai Tu jaise log....,46,42,42,45,42,42,35,51,42,64,51,35,34,42,34,42,51,39,51,46,39,42,42,46
Kuchh log dukh ki ghadi me bhi politics karne lagte hai,17,19,19,17,19,19,14,22,19,27,22,14,16,19,16,19,20,16,22,17,13,19,19,17
Are Maine kaha na isko na politics ka Gyan hai na religion ka kuch bhi bol do or Argument kaark apni baat sahi Sabit kaark khush ho jao,41,43,43,43,43,43,37,48,43,63,48,37,37,43,37,43,47,36,48,41,35,43,43,41
#BOLLYWOOD  Mohra | Rajiv Rai | 1994,13,17,17,16,17,17,11,17,17,24,17,11,15,17,15,17,18,11,17,13,14,17,17,13
@BollywoodGandu  he is @bollywood Chutiya,15,18,18,13,18,18,9,13,18,27,13,9,12,18,12,18,16,10,13,15,10,18,18,15
Waise hi jaise triple talaq ke favour me bhi the air oppose bhi kr rahe the..,24,32,32,24,32,32,23,26,32,41,26,23,23,32,23,32,26,22,26,24,22,32,32,24
kuch cricket k bade khiladiyo ki vajah se chote khiladiyo ka carrier kharab ho raha h ye pehle bhi ho chuka hai.,37,44,44,37,44,44,33,47,44,59,47,33,34,44,34,44,42,31,47,37,27,44,44,37
Mujko to ek baat nhi samaj aate hai kis ne bana de ye cheaj k Muslim yaha safe nhi hai. Ye sirf ghandi politics hai,38,39,39,37,39,39,35,47,39,61,47,35,35,39,35,39,47,32,47,38,32,39,39,38
DESH azadi ke din veer shahid ko yaad karta hai per MODI ji hai ki triple talaq ko yaad kar rahe hai,32,40,40,33,40,40,30,42,40,58,42,30,30,40,30,40,41,30,42,32,27,40,40,32
Yaar kam se kam Maut per tu politics maat karo. Warna jab tumhari Maut hogi tu koi ronewala bhi nahi hoga,35,43,43,36,43,43,29,41,43,55,41,29,29,43,29,43,43,30,41,35,29,43,43,35
Mubarak ko kabhi sharm to aayi nahi. Ab wo Sharm naam ke shehr mein ja raha hai. #irony,31,35,35,31,35,35,27,37,35,47,37,27,26,35,26,35,35,25,37,31,25,35,35,31
Are shrm kro pahunch gye politics krne agr hmdrdi hote to un bachcho ki wjh jante kyu huyi kaise hue agr desh loota na hota tumne ye na hota,54,56,56,54,56,56,47,63,56,78,63,47,48,56,48,56,62,47,63,54,46,56,56,54
"'Pasay choro, ek do tail ke kunwain baant laitay hain'#JavedSheikh-#NaMaloomAfraad2 #pakistanicinema #lollywood #bollywood #hollywoodpic.twitter.com/LPqGaIetsz",63,71,71,67,71,71,57,77,71,99,77,57,59,71,59,71,77,58,77,63,60,71,71,63
#DeshIsDharam Rajib Rai ji kabhi to politics chhod ke achhi baat karo.,23,28,28,26,28,28,23,31,28,38,31,23,22,28,22,28,30,24,31,23,20,28,28,23
akhilesh ji  aap abhi yuwa hi politics aisi kariye jisse massumo ki jaan na jaye plz,28,32,32,28,32,32,26,37,32,51,37,26,27,32,27,32,36,25,37,28,22,32,32,28
"First woman IPS of India @thekiranbedi is praising the Person (Amit Shah), jinki history se aap sabhi vaakif honge.  Gajab hai yar.. #Irony",48,46,46,49,46,46,42,51,46,76,51,42,41,46,41,46,50,41,51,48,39,46,46,48
Ye manusmriti ki burai ker dega but allah ki likhi us ghatiya kitab ki nhi jisme triple talaq aur halala jaisi ghatiya bate dali hui h,43,51,51,43,51,51,37,56,51,70,56,37,38,51,38,51,53,36,56,43,39,51,51,43
Aap Muslim Khatoon Se Guzarish Hai Ki Aag Aaye Aur Triple Talaq Ki Debate Me Hissa Lekar Apne Khayalat A Izhar Kare Jaisa Aapne Kiya salute.,46,51,51,46,51,51,44,55,51,73,55,44,44,51,44,51,54,43,55,46,47,51,51,46
@Usama7 Bhai best bowling line up hai aisa na bolo.. #Sarcasm,21,22,22,21,22,22,22,27,22,32,27,22,22,22,22,22,26,19,27,21,20,22,22,21
Kabhi triple talaq ke khilaf aur Sandeep dikshit jaise logon ke khilaff bhi bolo.,28,36,36,28,36,36,23,36,36,43,36,23,23,36,23,36,33,22,36,28,23,36,36,28
"Mera Bharat Mahan  ! Beti Bachao, Beti Padhao, Indeed ! @varnikakundu @bainjal @vaidehisachin #Irony pic.twitter.com/e0ZKoAiP4V",54,59,59,59,59,59,51,63,59,71,63,51,52,59,52,59,57,46,63,54,50,59,59,54
TripleTalaq ki baat aai to @KapilSibal ko Ram yaad aa gae.  Isi se smjh jao ki jarurat pr yaad or kaam kon aata h.,45,50,50,46,50,50,44,57,50,68,57,44,42,50,42,50,52,39,57,45,40,50,50,45
@CertifiedCrock i ment wafadar hone ke baad bhi kutta ek gali hai  lol #sarcasm,27,31,31,29,31,31,27,39,31,44,39,27,27,31,27,31,38,22,39,27,24,31,31,27
@bhogleharsha  In 2015. Shikhar Dhawan?? #SLvIND #AskTheExpert @SPN_Cricket,30,34,34,34,34,34,25,36,34,45,36,25,28,34,28,34,35,30,36,30,31,34,34,30
Bhai Smartcric App bhai Usme Duniya ke pure live cricket chalte Even Barmuda ka bhi mil jayega,28,31,31,29,31,31,26,31,31,46,31,26,26,31,26,31,30,24,31,28,24,31,31,28
Ladki ka chakkar babu bhaiya. #bollywood #cricket #celebrities #AnushkaSharma #ViratKohlipic.twitter.com/706bPQY2mC,49,55,55,51,55,55,38,56,55,71,56,38,44,55,44,55,55,39,56,49,38,55,55,49
"Aur mere bhai, aaj tak congrss ne aaplogo ko kaise use kiya hai? us se to aacha hai na, Yes its a politics for good",38,40,40,37,40,40,36,45,40,66,45,36,35,40,35,40,44,36,45,38,33,40,40,38
Are bhaiii...jaise Mumbai chhodke saare India ko tumne jannat banayi hai jaise...tum bus politics karo...madad mat karo..,45,43,43,43,43,43,35,43,43,66,43,35,36,43,36,43,42,40,43,45,36,43,43,45
Aurto ke haq(triple talaq) ke ladne wale Modi ab kyu chup hai ..Kya yahi hai #AchheDin #AchheDin  Aur #NewIndia,41,52,52,47,52,52,40,57,52,59,57,40,41,52,41,52,55,41,57,41,41,52,52,41
@thaluaclub @anjanaomkashyap @congress_hatao @khangress @ravishndtv @sardesairajdeep nahi media to POP JOHN PAUL ke Avataar hai,48,53,53,49,53,53,41,56,53,70,56,41,41,53,41,53,55,38,56,48,48,53,53,48
Abhi mujh mein kahin baaki thodi si hai cricket : Dhoni.,20,20,20,20,20,20,19,25,20,28,25,19,17,20,17,20,26,17,25,20,13,20,20,20
Bhakt logic: 100 bachhe margae Yogi ka koi dosh nahi. #TripleTalaq ban hua credit sara Modi ka Literally GOBAR hai dimag me. @DalitRising,44,52,52,50,52,52,42,54,52,71,54,42,43,52,43,52,53,41,54,44,43,52,52,44
Paise ke liye @KapilSibal aur Vote Bank ke liye @INCIndia Apne maa ka bhi #TripleTalaq accept kar lenge,33,40,40,37,40,40,33,46,40,53,46,33,32,40,32,40,43,31,46,33,31,40,40,33
"Par jaake mil raha hun, kerala ke log Left ki sarkaar ke bilkul khilaaf hogaye hai, wo in Communiston ki Divisive Politics se pareshan hai """,41,46,46,42,46,46,38,56,46,72,56,38,38,46,38,46,54,37,56,41,33,46,46,41
Chhat pe cricket ke liye bat ki jagah thapi aur  akhbaar ke upar dhaga lapet ke banai hui ball..,31,36,36,32,36,36,31,40,36,48,40,31,31,36,31,36,39,30,40,31,26,36,36,31
Ram rahim k bhakt hain ye paise me kharide huy vo aag lga rhe hai ........Dimple....politics khel rha hai ye....balatkari bawa...,59,47,47,58,47,47,38,60,47,71,60,38,42,47,42,47,57,51,60,59,52,47,47,59
Yeh joh support kar rahe hai woh apne maa baap ko bech ke kha sakte hai Toh yeh Triple Talaq hai kya,35,37,37,35,37,37,28,44,37,54,44,28,26,37,26,37,43,29,44,35,28,37,37,35
"Pakistan Cricket Team K Fast Bowler Roman Raees Aaj Zindagi Ki Nai Inning Shuro Kar Rahay Hain, Roman Raees Aaj Dulhaniya Ghar Layen Gay....",42,45,45,44,45,45,41,50,45,67,50,41,39,45,39,45,47,41,50,42,41,45,45,42
Yeh sab baat chhodo aur  Kuch RESERVATION par  baat karo.  Apko patidaro ne politics karne k liye kandho par nahi uthaya hai. Only anamat,42,51,51,46,51,51,37,53,51,74,53,37,37,51,37,51,53,37,53,42,40,51,51,42
AAJ MUSALMANO NE TRIPLE TALAQ PAR SC KE FAISLE KA VIRODH KIYA JISME 100 GADIYA JALAYI AUR 30 LOG MARE GAYE( AGAR AISA HOTA TOH),44,60,60,64,60,60,48,73,60,88,73,48,51,60,51,60,69,49,73,44,62,60,60,44
"Ye baat, dahi haandi, Jalikattu  Ye Sb nautanki baaz h Triple talaq b khtm hoga, ram mandir bhi bnega..mecca h to ayodhya bhi hogi",52,59,59,51,59,59,46,60,59,75,60,46,46,59,46,59,62,44,60,52,41,59,59,52
"Please dekha Karo aajkal accha debate chal raha hai Halala, Triple Talaq aur Love Jihad pe",28,30,30,27,30,30,26,31,30,46,31,26,25,30,25,30,29,24,31,28,21,30,30,28
Baadshah ke Mahal mein thousands mein diye hote hain aur gareeb ke ghar mein very few,22,29,29,21,29,29,23,31,29,42,31,23,20,29,20,29,31,21,31,22,19,29,29,22
Politics tere liye nahi hai kab samjhega apni zindagi aur hamara waqt barbaad karna bandh kar.. pic.twitter.com/UjzMYLm17t,49,52,52,52,52,52,41,58,52,70,58,41,38,52,38,52,54,38,58,49,38,52,52,49
Galat hai bhai cricket me fanwar ajeeb lagta hai,15,17,17,15,17,17,13,16,17,24,16,13,15,17,15,17,16,14,16,15,12,17,17,15
tu iska video triple talaq pe dekh tujhe pta lag jaega kitna Sahi bolta hai ye aur hmne bhi granth padhe hue hai ulta bolta hai ye ye,45,51,51,45,51,51,39,54,51,66,54,39,40,51,40,51,53,39,54,45,39,51,51,45
#BOLLYWOOD  Dharam Veer | Manmohan Desai | 1977,17,22,22,21,22,22,13,21,22,28,21,13,19,22,19,22,22,13,21,17,15,22,22,17
"Angelo Mathews be like "" Itni khushi to hamain jeet kr nahi hui jitni Pakistanio ko India ki haar ki hui "" #Sarcasm",35,40,40,33,40,40,34,44,40,58,44,34,35,40,35,40,42,32,44,35,31,40,40,35
Mjhe nhi pata ye sab Mjhe bas itna pata hai Ki aap abhi cricket par aur zyada dhyan dein Aapko fame aapki mehnat ke wajah se hi mili hai :),54,53,53,54,53,53,41,63,53,77,63,41,42,53,42,53,62,41,63,54,43,53,53,54
Yuvraj@ sir Kya aap ya bata sakte ha ki aap sabhi kiske Liya cricket khalte ha sapoj that to 1. apne liye ya 2.Desh ka Liya ya 3. humre liya,55,58,58,55,58,58,46,59,58,71,59,46,43,58,43,58,56,47,59,55,44,58,58,55
sir aap ko gyan lena chahiye...sytem se cricket dekhna bandh karo..reality samjo...koi bhi player bekar nahi hota,41,42,42,41,42,42,32,45,42,56,45,32,33,42,33,42,42,36,45,41,33,42,42,41
"Rehta Tha HujOom Jin K ""Medaan"" me Aany sy Aaj Gham_E_Tanhai main wO Cricket chOr chaly  @SAfridiOfficial @nsaafridi @TEAM_AFRIDIpic.twitter.com/JTjSdQHXyy",66,75,75,71,75,75,63,84,75,101,84,63,63,75,63,75,77,65,84,66,71,75,75,66
"Nafrat ki politics na ki hoti,kiye vaade poore kiye hote,gareeb aur vyapario ko uthaya hota, daily needs pe GST na lagate aise khwab they to",48,52,52,48,52,52,45,55,52,78,55,45,46,52,46,52,54,41,55,48,41,52,52,48
Jab bhi bjp ke kaam ko poocho ya pata karo woh muslim politics karna start kar dete hai,29,30,30,29,30,30,21,32,30,40,32,21,23,30,23,30,32,21,32,29,23,30,30,29
"Ek to world ke 2nd grade players, or upar se aaj #londonblast Ab inaka mann cricket me kaha hoga. Match haaro, bhago yaha se  #PAKvWXI",45,53,53,47,53,53,43,54,53,73,54,43,44,53,44,53,53,42,54,45,41,53,53,45
@kamaalrkhan ye dekh C  Aise hote he superstar @superstarrajini Bollywood me koi he? Us twitt ke liye aaj bhi gali dene ka man karta he... pic.twitter.com/7uGdO4hA6u,67,70,70,68,70,70,57,76,70,90,76,57,57,70,57,70,70,57,76,67,52,70,70,67
Cricket News Grant Elliott Ne Is Hawaly Se Apne Khushe Ka Izhar Karte Howa Kaha Ha K Mere Liye Lahore Jana Asa Ha Jaisa Apne Ghar Jana .,45,47,47,39,47,47,42,50,47,72,50,42,38,47,38,47,47,36,50,45,42,47,47,45
"'Tujhe dekha to yeh jana sanam......."" LAST PART #DDLJ #SRKajol #SRK #TheBestOfSRK #Bollywood pic.twitter.com/SpvJGvrimb",61,62,62,63,62,62,43,62,62,75,62,43,48,62,48,62,59,53,62,61,58,62,62,61
Dekho phir sy #Cricket charhi jaa rhi hy  #pakvwxi #CricketKiHalalalapic.twitter.com/yFSUhofuJK,38,48,48,42,48,48,33,50,48,56,50,33,39,48,39,48,47,37,50,38,40,48,48,38
@hardikpandya7 bhai sahab hame bhi batao ipl me kaise entry le sakte hai mai bhi all rounder hoo cricket me mai garib pariwar se hoo aap ke,48,49,49,48,49,49,43,56,49,72,56,43,40,49,40,49,55,41,56,48,33,49,49,48
"Ye bche desh ka bhavishya hai,yogi ji ne ek din pehle daura kia,kya bche aur buddhe agr desh ki politics ke beech aate h to ye behad dukhd h",53,56,56,53,56,56,50,60,56,68,60,50,50,56,50,56,59,48,60,53,41,56,56,53
Ns ki to politics hee khatum ho gayee thee Sh Sahib,16,20,20,18,20,20,17,18,20,28,18,17,17,20,17,20,17,14,18,16,16,20,20,16
@narendramodi sir politics m parivaar vaad biklul khatam hona chahiye.raj.m parivaar vaad jyada h sir.or kota m bahut jyada ek hi parivaar.,49,56,56,52,56,56,45,63,56,77,63,45,47,56,47,56,58,43,63,49,37,56,56,49
@SPN_Cricket dhoni ko upar Keu Nhi  bheta Virat? Answer me,23,26,26,24,26,26,19,25,26,31,25,19,22,26,22,26,24,19,25,23,18,26,26,23
Big Truth  One day cricket match K Liye Awaam Pagal Ho Jati Hai  Lakin Jumme k Byan K Liye Hamare Paas Waqt Nai    *MisBaH*,37,50,50,42,50,50,41,45,50,61,45,41,37,50,37,50,44,36,45,37,45,50,50,37
"Agar Musalman Qaum ek ho ke Dua karay aur agar Allah ki marzi ho to Inshallah, Alhamdulillah Manchester United Zaroor Jeetay Ga.  #Sarcasm",46,49,49,44,49,49,37,51,49,72,51,37,38,49,38,49,50,36,51,46,44,49,49,46
Modi kaha tak padha hai ye bata do.. Aur @yadavtejashwi ji cricket me pahle intrest rakhte the to tum v jaanti ho ki cricter padhai kare ya,47,54,54,48,54,54,41,59,54,70,59,41,41,54,41,54,54,40,59,47,41,54,54,47
#PM khud #Ghulaam hai aur deta hai #Speech #Azaadi par? #Irony #IndependenceDay,27,33,33,28,33,33,27,35,33,47,35,27,31,33,31,33,35,26,35,27,27,33,33,27
@Bihar_BJP Politics hi hoga Bihar me ya Jo log baadh se pidit hai unka sahayeta v honi chahiye...,37,38,38,35,38,38,30,41,38,52,41,30,31,38,31,38,37,30,41,37,26,38,38,37
Voh banda bhi yeh line bol k baaki 1000 jaisa ho jata hai  #irony,22,25,25,22,25,25,20,27,25,34,27,20,20,25,20,25,27,20,27,22,20,25,25,22
"#KPL2017 #BB 11 by Kc #FantasyCricket  Vishwanathan, Samarth, Bhavane, Deshpande, RBhatkal,, MReddy, ABhat, MYadav, Krishna, Koushik, Kader.",61,60,60,57,60,60,49,67,60,82,67,49,57,60,57,60,66,53,67,61,54,60,60,61
"@INCIndia  madarchod , randi ke badwe @JM_Scindia  student ki maut pe politics kaise khelna hai tum haramiyo se sikhe ...@",43,48,48,43,48,48,37,50,48,66,50,37,38,48,38,48,47,37,50,43,40,48,48,43
Aur bhi Bakwaass baat yeh Hai Ki Aap Channel Par Kuch Chune hue Politics k  Joker ko bithake Desh Ijjat Udate hai..,39,40,40,39,40,40,36,44,40,63,44,36,34,40,34,40,45,35,44,39,37,40,40,39
sahi btayi ki kala dhan hatana ta ya gandhi ki photo  #sarcasm,21,27,27,21,27,27,20,27,27,31,27,20,20,27,20,27,25,19,27,21,18,27,27,21
tu besharam hai kya politics band kr de we know ki galat huaa hai.tumare jaise logo ko jute se bhigo ke marana chahiye. politics band kr de,43,44,44,43,44,44,39,52,44,77,52,39,40,44,40,44,51,38,52,43,36,44,44,43
jo log din raat print/electronic media par apni har baat bolte h even fantasies bhi vo ye bol rahe h ki unhe bolne nahi diya ja raha #Irony,44,46,46,44,46,46,39,54,46,73,54,39,40,46,40,46,53,39,54,44,36,46,46,44
Aur Triple Talaq ke liye chhati Peet rahe hain.,16,20,20,16,20,20,14,19,20,24,19,14,14,20,14,20,18,14,19,16,13,20,20,16
Ashleel politics . Dikha di aukaat apni tum bjp waalo ne . bakra mota ho jata hai use turant halaal kar dete hai .apni baari ka intzaar kro.,49,55,55,50,55,55,47,63,55,77,63,47,49,55,49,55,61,44,63,49,40,55,55,49
To vo kya dare aur rape karne de apni betiyo ka. Hindustan ke Musalman Triple talaq ban home per Desh todne ki baat karte hai.,39,46,46,37,46,46,34,51,46,63,51,34,35,46,35,46,50,33,51,39,32,46,46,39
Sad-G late ho gaye #TripleTalaq ka faisla kuch din  pehle sunaya gaya tha par asha kartahu muslim aapka sahanbhuti jarur accept karengai,43,53,53,45,53,53,40,53,53,69,53,40,41,53,41,53,54,39,53,43,33,53,53,43
Shok santapt pariwar ko kuchh muawaja mila kya.sattarudh party ya vipakshh ne kuchh diya kya.ya kewal lash pe politics hi hoga,46,50,50,47,50,50,37,50,50,63,50,37,40,50,40,50,51,38,50,46,37,50,50,46
"Koi ek muslim dikha do jo modi k bare me acha bole,mai chahta hu modi ko b triple talaq k bare me kuch ni krna chahiye,ye khudh chahti ha",46,57,57,46,57,57,41,54,57,71,54,41,39,57,39,57,55,40,54,46,39,57,57,46
Arey kabhi triple talaq ki maari hui un lakho auraton k bhi barey mei socha hai?? Kabhi khud par bhi sharminda ho lo.,43,48,48,43,48,48,36,48,48,61,48,36,35,48,35,48,48,35,48,43,36,48,48,43
Or vese debate triple talaq par thi... Apko bhi sibbal ki tarah plti marne ki adat ho gyi h shayad....,39,43,43,41,43,43,32,41,43,58,41,32,33,43,33,43,39,35,41,39,37,43,43,39
Ye triple talaq inke dharm se sambandhit h..Lekin ram mandir court tay karegi...Saale begairat Besharm..Kashmiri pandito k lie kabi nai bole,49,58,58,48,58,58,45,56,58,74,56,45,46,58,46,58,55,43,56,49,39,58,58,49
Sari life cricket ki ground mein dhoop mein khel khel kar dhoop ne inka deemaag khushk kar deya hai. Es liyeh yeh haal hai.,41,44,44,41,44,44,39,54,44,65,54,39,40,44,40,44,52,35,54,41,34,44,44,41
Is baar firse haar gye to saniya ne #TripleTalaq le lena he.. fir shoaib mailk ka halala hoga..,35,39,39,36,39,39,33,42,39,51,42,33,33,39,33,39,40,32,42,35,32,39,39,35
"Hindustani jaisa bhi ho, usse do cheezein bilkul pasand nahin ... ek hai cricket mein haar ... doosra apne desh pe vaar",42,41,41,42,41,41,37,49,41,59,49,37,36,41,36,41,48,38,49,42,32,41,41,42
@BDUTT politics ki hi baat hai madam...varna tumhara mulk pakistan hota and humara to hindustan hai hi...,37,38,38,38,38,38,28,39,38,54,39,28,29,38,29,38,38,30,39,37,29,38,38,37
"""Tumhein apna saathi banane se pehle, Meri jaan mujhko bohot sochna hai"" One of my favorite Shabbir Kumar's song. #Bollywood @MariaSartaj",50,51,51,48,51,51,41,59,51,79,59,41,44,51,44,51,60,43,59,50,40,51,51,50
Bollywood me prem kuch zyada hi hai. Aur bahar sab chutiya hain,22,22,22,20,22,22,16,25,22,33,25,16,15,22,15,22,26,16,25,22,14,22,22,22
Cricket wale jeete hai to tum inam crodo rupey deto ho aur hamare jawan shahid hote hai to sirf lakh rupey deto ho ye farak kyu,47,51,51,47,51,51,42,53,51,66,53,42,41,51,41,51,50,39,53,47,35,51,51,47
Cricket fight jaab hota hai kuch samjh mai nahi aata hai...,20,22,22,20,22,22,16,25,22,27,25,16,15,22,15,22,23,17,25,20,16,22,22,20
Sab se pahle to tere jaiae bastard ko maar den chahiye jo kashmiri log ko barbad kar rahe ho@OmarAbdullah  ko politics chahiye n tujhe paisa,46,52,52,47,52,52,40,52,52,74,52,40,40,52,40,52,51,41,52,46,37,52,52,46
"Cricket News Hum Jeet K Liye Khel Rahe Hain, Lekin Haar Jeet Khel Ka Hissa Hai. Faf Du Plessis #Sufyan Gulzar",39,44,44,38,44,44,37,48,44,60,48,37,36,44,36,44,42,34,48,39,38,44,44,39
Koi Muslim agar triple talaq ke khilaf bol de to use turant fatwa de dete he.par in kattar panth ke khilaf kabhi nai bolte.abi Bi wakt he,48,56,56,47,56,56,42,56,56,71,56,42,42,56,42,56,55,40,56,48,41,56,56,48
#Bollywood industry kisi ke #baap ki jaageer Nhi hai fir #wo koi v Ho  Well done  queen,28,31,31,26,31,31,23,32,31,50,32,23,25,31,25,31,32,22,32,28,23,31,31,28
@Bhuvan_Bam bhai chutiyo or bhakto ki baat p dhyan mt diyo.Ye apni maa behn ko b use krte h politics k liye Or 4 paise k liye gaali b dete h,57,60,60,57,60,60,52,65,60,80,65,52,50,60,50,60,63,48,65,57,47,60,60,57
Nhi bhai triple talaq par chhupi hi secularism hai.,16,23,23,16,23,23,15,17,23,31,17,15,15,23,15,23,17,15,17,16,14,23,23,16
Triple Talaq is GSTed now. Samjhe...? Nahi Samjhe to Ghanta Samjhoge Tum!,29,33,33,32,33,33,23,30,33,40,30,23,27,33,27,33,29,28,30,29,29,33,33,29
Abe pappu vote bank ki politics start kar di tune...Bahut fast ho gaya hai aajkal,24,28,28,24,28,28,21,28,28,42,28,21,22,28,22,28,27,23,28,24,21,28,28,24
ye to ek ne kha hai aur do keh de kuch aur phir to bollywood ki nikal padi,25,28,28,25,28,28,21,30,28,34,30,21,20,28,20,28,31,21,30,25,19,28,28,25
"@KapilSibal sun re kutte, apne behan se puch ki uska husband triple talaq deta toh kya hota, beti se puch apne re haramzade.",44,54,54,46,54,54,40,54,54,69,54,40,39,54,39,54,50,40,54,44,39,54,54,44
#Muzaffarnagar wow kaise log hai ispe bhi politics ki bakchodiya daal di ab,25,26,26,25,26,26,21,30,26,41,30,21,22,26,22,26,28,21,30,25,21,26,26,25
Aarey unka abhi triple talaq nhi hua bhai aap unko bich me mt laao she's good girl and fair for truth,35,42,42,35,42,42,31,38,42,59,38,31,33,42,33,42,39,31,38,35,30,42,42,35
Jeet har to politics ka hissa& parties ke aatm manthan ke liye jaroori Ahmad patel ki jeet par rone kyon lagi iraniji?  Itani tuchh soch ??,48,50,50,49,50,50,46,55,50,75,55,46,45,50,45,50,54,41,55,48,39,50,50,48
"Auratjat kya sosit nahin horahahai,4 Surat ke liye ek mard,Fir triple talaq,Fir halala,aurotonko bacha paida karneka machine banadiya gaya",44,56,56,47,56,56,47,58,56,71,58,47,45,56,45,56,57,40,58,44,41,56,56,44
"Teri politics sirf sangh k chaaron oor ghoom kar reh gyi or chakkar khakar gir gyi.  Jitna tu chillati h, kash utna kaam bhi kar leti 4 poor",49,54,54,50,54,54,43,59,54,69,59,43,44,54,44,54,60,43,59,49,41,54,54,49
@SPN_Cricket  Aj srilanka  230 plus score nahi kar payega,16,22,22,17,22,22,14,22,22,31,22,14,17,22,17,22,21,15,22,16,15,22,22,16
@Kiranya12616114 tun bhauk bhauk k kya sabit karna chahti ho .. pata to kuchh hai nahi aai badi politics k bare m bhaukne wali.  Sudhar ja,52,60,60,52,60,60,43,60,60,71,60,43,43,60,43,60,59,41,60,52,43,60,60,52
"Balochistan Men Cricket Ky Fur0gh Kay Liye Mazeed Stedium Banane Jahen Ge, Wafaqi Wazir-E-Parilmani Amoor.",37,41,41,41,41,41,37,45,41,60,45,37,35,41,35,41,38,36,45,37,40,41,41,37
Cricket News Umar Akmal Ko Sabar Se Kaam Lena Chahiye QK Maazi Me SarFraz Ahmed K khilaaF Bhi Aisi Sazish Huwe Thi Aur SarFraz Ahmed,46,48,48,45,48,48,42,59,48,69,59,42,42,48,42,48,52,40,59,46,45,48,48,46
Arey jaan loge kya bacchi ki? kitna he antar hai hind desh k niwasi gane main aur jana gana mana main 19-20 ka toh antar hai ! #sarcasm,47,51,51,47,51,51,43,59,51,68,59,43,42,51,42,51,57,40,59,47,41,51,51,47
#Pakistani Qoum Barma Or phalasteen me MusalmanO ke Qatl-e-aam pr #Jashan mana rahi hai.  #Cricket...,39,44,44,37,44,44,34,47,44,51,47,34,37,44,37,44,44,36,47,39,36,44,44,39
Resigned: Sri Lanka Cricket aniyin thodar thoalviyinaal Therivuk kuluth Thalaivar Sanath Jayasuriya ullitta athan uruppinarhal Raajinaamaa,47,53,53,45,53,53,43,55,53,68,55,43,43,53,43,53,54,40,55,47,42,53,53,47
Jab se ladkiyon ne cricket mein women world cup ke final mein pahunch kar dikhaya hain abto ye hain ki jab bhi ladkiyon ka cricket match ho.,42,42,42,42,42,42,37,50,42,72,50,37,40,42,40,42,46,36,50,42,33,42,42,42
@MHaris_ Jitni kisi ki shakal 3110 jaisi hai.. Bas uski banday ke hath mai Iphone5S hoga. #Irony!!,41,43,43,40,43,43,36,47,43,56,47,36,36,43,36,43,47,36,47,41,35,43,43,41
